[1507820856, u'Thu Oct 12 11:07:36 +0000 2017', 918432962953093127, u'current weather in Hartford: overcast clouds, 53\xb0F\n81% humidity, wind 5mph, pressure 1027mb', [], [], [], [], u'Hartford, CT']
[1507820856, u'Thu Oct 12 11:07:36 +0000 2017', 918432963939000320, u"Oh my life counting down the hours, minutes, seconds until I'm back in the sun... I'm definately not made to live in this weather! \U0001f648", [], [], [], [], u'Aberdare, Wales']
[1507820859, u'Thu Oct 12 11:07:39 +0000 2017', 918432974915416064, u'Getting cooler here in NE Tennessee, I love wearing my daisy dukes in warm weather.\U0001f609 https://t.co/cjiPXK4mJu', [], [u'LeslieVann4'], [], [u'http://pbs.twimg.com/media/DLpHtHeUQAAq66e.jpg'], u'Buffalo, NY']
[1507820860, u'Thu Oct 12 11:07:40 +0000 2017', 918432976941322240, u'Loving this weather! https://t.co/tbMQNQaSq9', [], [], [], [u'http://pbs.twimg.com/media/DL7t6xkWkAAF_tP.jpg'], u' 2 THESSALONIANS 3:5\n\n']
[1507820860, u'Thu Oct 12 11:07:40 +0000 2017', 918432979139035136, u"Agn we got heavy clouds,covered whole sky!well it doesn't mean tht its gona #rain  bt weather got les hot here n st\u2026 https://t.co/RKujl1W5IE", [u'rain'], [u'InocentLiar1'], [], [], None]
[1507820860, u'Thu Oct 12 11:07:40 +0000 2017', 918432979986337797, u'#WEATHER WARNING: Two imminent cold fronts approaching Durban today, 12 October 2017. Please be cautious. #DurbanStorm', [u'WEATHER', u'DurbanStorm'], [u'eThekwiniM'], [], [], u'Durban, South Africa']
[1507820861, u'Thu Oct 12 11:07:41 +0000 2017', 918432983991775232, u'#INDvAUS T20 match to be washed away? #HyderabadRains https://t.co/TiUV3Nkf0f', [u'INDvAUS', u'HyderabadRains'], [], [u'https://twitter.com/SkymetWeather/status/918431150879670272'], [], u'Hyderabad']
[1507820862, u'Thu Oct 12 11:07:42 +0000 2017', 918432987695534080, u"I'm so in love with the weather", [], [u'donnamaherr'], [], [], u'cairo/maadi']
[1507820862, u'Thu Oct 12 11:07:42 +0000 2017', 918432988244869121, u'Stay Inside: Worst Ever Conditions\n\nFrom The Weather Channel iPhone App https://t.co/DdiEpFdeGr https://t.co/oMEg8MPSBy', [], [], [u'https://www.weather.com/news/weather/video/wildfires-create-dangerous-air-in-bay-area?pl=pl-the-lift'], [u'http://pbs.twimg.com/media/DL7t70lWsAAaQMO.jpg'], u'New York, USA']
[1507820863, u'Thu Oct 12 11:07:43 +0000 2017', 918432989721317376, u'@RandyDelorey I recommend invest in cooler weather gear! Save the treadmill for winter. Fall running can be great here well into December.', [], [u'RandyDelorey'], [], [], u'Halifax, Nova Scotia']
[1507820862, u'Thu Oct 12 11:07:42 +0000 2017', 918432988953759744, u'Check time it\u2019s Spring like weather #paris #parishotels https://t.co/C0oPIgdNyE https://t.co/exs15zOHwF', [u'paris', u'parishotels'], [], [u'https://www.swarmapp.com/c/cruKMhzuDNL'], [u'http://pbs.twimg.com/media/DL7t7z_WAAAu1oV.jpg'], u'iPhone: 51.508789,-0.198040']
[1507820864, u'Thu Oct 12 11:07:44 +0000 2017', 918432996524548097, u"It's a nasty start here in NJ. How long will the dreary weather last for? Check your 4cast here: https://t.co/DT2t7btzZ2\n@News12NJ", [], [u'News12NJ'], [u'http://newjersey.news12.com/story/35395982/forecast-mix-of-sun-clouds-thursday-with-cooler-temps'], [], None]
[1507820865, u'Thu Oct 12 11:07:45 +0000 2017', 918432998021722113, u'current weather in Bangkok: shower rain, 30\xb0C\n70% humidity, wind 2kmh, pressure 1004mb', [], [], [], [], u'Bangkok, Thailand']
[1507820865, u'Thu Oct 12 11:07:45 +0000 2017', 918433000445976577, u"#\u6556\u5b50\u9038 #aoziyi #\uc624\uc790\uc77c #\u30a2\u30a6\u30c5\u30a4 #tf\u5bb6\u65cf #TF\u5bb6\u65cf\u6556\u5b50\u9038 #\uc911\uad6d #\uc544\uc774\ub3cc \nOur boy's new weibo\nChongqing becomes colder now! But the weather\u2026 https://t.co/GhlzVgksq2", [u'\u6556\u5b50\u9038', u'aoziyi', u'\uc624\uc790\uc77c', u'\u30a2\u30a6\u30c5\u30a4', u'tf\u5bb6\u65cf', u'TF\u5bb6\u65cf\u6556\u5b50\u9038', u'\uc911\uad6d', u'\uc544\uc774\ub3cc'], [u'ao_ziyi'], [], [], u'\u0e01\u0e23\u0e38\u0e07\u0e40\u0e17\u0e1e\u0e21\u0e2b\u0e32\u0e19\u0e04\u0e23, \u0e1b\u0e23\u0e30\u0e40\u0e17\u0e28\u0e44\u0e17\u0e22']
